V1,Breast_pvalue,reject,fdr_pvalue
ABL1,0.0106824436173454,False,0.06328948786118203
ACD,0.202974441897458,False,0.2606191833963361
ACLY,0.253076583388344,False,0.30087993802836455
ACO1,0.0054445688436705,False,0.05122732884273911
ACO2,0.238817884033051,False,0.28983191219133975
ACTN1,0.21962431567478,False,0.2737840983751626
ACTN3,0.372571377666024,False,0.3977249166474486
ACTR2,0.003604523297018,True,0.04440957979423407
ACTR3,0.0302492431834162,False,0.09958981601924718
AGGF1,0.277897622885888,False,0.3180218785966846
AGL,0.166673625789199,False,0.23414544366885287
AIMP2,0.0265552134264991,False,0.091751570805074
AKT1,0.153999163738619,False,0.22167592627846053
ALDOA,0.0626238019001426,False,0.13582594871584985
ALDOB,0.0987262570873407,False,0.17106527778923625
ALDOC,0.0339472782616952,False,0.10477958001927076
AMOT,0.0265808084451971,False,0.091751570805074
ANG,0.189658566531999,False,0.2526157670405464
ANGPT1,0.0326184989051504,False,0.10366869454013149
ANGPT2,0.168051820567686,False,0.2345978717655727
ANGPTL4,0.0427450928716611,False,0.11262998355740551
ANPEP,0.242934545110623,False,0.2920673744588389
APAF1,0.181675065141831,False,0.2460662274705812
APEX1,2.39860506390991e-05,True,0.006245857610667362
APEX2,0.324090858875301,False,0.35750228762533204
AREG,0.240747627933918,False,0.291073403264737
ARF6,0.0069947644498779,False,0.05345998543835253
ARHGDIA,0.195540691732451,False,0.2564354185531973
ARHGEF7,0.0696917401776686,False,0.14429882231843533
ARRDC3,0.28150508991752,False,0.3204366449061132
ASB1,0.0053196430768072,False,0.05097329634791377
ATM,0.0155418133949991,False,0.07692094023310216
ATP5I,0.0249523342076123,False,0.08850496442700054
ATR,0.038924578647365,False,0.10960341882284357
ATRIP,0.0338010920579977,False,0.10477958001927076
ATRX,0.0188816630777833,False,0.07871446555803169
ATXN3,0.0374359880267624,False,0.10748995487933759
AURKB,0.0691559960865791,False,0.14368333167502842
BAD,0.252754721971361,False,0.30087993802836455
BAIAP2,0.052515682331468,False,0.12171504713647097
BAK1,0.020845065679243,False,0.08167487499869297
BARD1,0.0008072668200032,True,0.023568272927419393
BAX,0.0562557938317599,False,0.12742455199483035
BBC3,0.138913744900017,False,0.20837061735002552
BCAR1,0.0309888595284419,False,0.09997410963447086
BCL2,0.0361876191959302,False,0.10612538867675923
BCL2A1,0.0026470884955187,True,0.03694414813310882
BCL2L1,0.0690457308952292,False,0.14368333167502842
BCL2L10,0.0202956870639764,False,0.08167487499869297
BCL2L2,0.0278837243995651,False,0.09471614319852273
BCR,0.1034595942073,False,0.17479226179233318
BID,0.0380155140448776,False,0.10802540683692659
BIK,0.0167532156935471,False,0.07692094023310216
BIRC5,0.0447133266221458,False,0.11331978138338403
BLC,0.247773262649226,False,0.29566995282677155
BLM,0.0418329777615183,False,0.11262998355740551
BMI1,0.1086253891623,False,0.18113636322648466
BMP2,0.300760261856927,False,0.3375665876086488
BNIP3,0.0008076355208773,True,0.023568272927419393
BNIP3L,0.001988504380319,True,0.03144903830940271
BOK,0.149833460204604,False,0.21922389401530717
BPGM,0.0324850015381483,False,0.10366869454013149
BRCA1,0.407382613314344,False,0.4273523492611256
BRCA2,0.0993883934819083,False,0.17106527778923625
BRIP1,0.0437236179704758,False,0.11331978138338403
BTG1,0.0045841908115095,True,0.04905084168315166
BTG2,0.0639811475908308,False,0.13691965584437793
CAPN1,0.207045243590417,False,0.26303919203382997
CAPN2,0.123626279875556,False,0.19310966345524805
CASP1,0.0783102084849199,False,0.15097643797993568
CASP10,0.124938597582395,False,0.1946858729317903
CASP14,0.0209187828969948,False,0.08167487499869297
CASP2,0.0072338796075819,False,0.054637067153736237
CASP3,0.0945336829804857,False,0.16811807333371695
CASP4,0.107870766190721,False,0.18034643722511168
CASP5,0.244850434758287,False,0.2932723490948139
CASP6,0.0187804543102992,False,0.07871446555803169
CASP7,0.0032886740842106,True,0.04139860317770991
CASP8,0.0056778867574436,False,0.05122732884273911
CASP9,0.009013103404383,False,0.06180218956904519
